1001, MICROSOFT LUMIA ,Loaded up with the highest end specifications; including a Qualcomm Snapdragon 808 and 810 processor; 5.7 inch 2560x1440 AMOLED display; 20 megapixel Zeiss optics camera; 3340 mAh removable battery; microSD card slot; USB Type-C fast charging,549.00,lumia950-970.jpg
1002, APPLE IPHONE 6S PLUS-6S,3D Touch; Touch ID; Hey Siri; the improved camera; the awesome front-facing camera flash technique; Proactive,749.00,appleiphone6splus.jpg
1003, SAMSUNG GALAXY NOTE 5,The Samsung Galaxy Note 5 has an eye-catching design and high-end hardware and it takes great outdoor photos.,700,samsunggalaxynote5.jpg
1004, GOOGLE HUAWEI NEXUS 6P,Released 2015 September; MOLED capacitive touchscreen;16M colors;Size: 5.7 inches Resolution 1440 x 2560 pixels,549.00,googlehuaweinexus6p.jpg
1005, LG G4,Has the best cameras available on a smartphone; removable user-replaceable battery; and includes a microSD expansion card slot.Comes in leather?; Qi wireless charging support,480.00,Lgg4.jpg
1006, HTC ONE A9,Feels fantastic in your hand and with a 5 inch display. The Snapdragon 617 processor keeps things running smoothly; the battery life is solid; Android Marshmallow is great; the fingerprint scanner is quite and reliable,399.99,HtconeA9.jpg
1007, BLACKBERRY PRIV, Features a slide-out keyboard; Schneider-Kreuznach® certified camera and the best integrated messaging experience on Android. Added security lets you know when you could be at risk; so you can easily take action to protect your privacy.,748.00,BlackberryPriv.jpg
1008, GOOGLE'S LG NEXUS 5X, The 5X offers top-line performance in a compact lightweight device that's ready to go anywhere anytime. Beneath the 5.2-inch display is a hexa-core Snapdragon 808 processor. ,399.99,Googlenexus5x.jpg
1009, MOTO X PURE EDITION,Carrier freedom:  5.7 Quad HD display + stereo sound: vivid edge-to-edge display that’s enhanced by rich stereo sound.21 MP camera:  TurboPower charging: up to 10 hours of use in just 15 minutes of charging.,399.99 ,Motoxpureedition.jpg
1010, ONEPLUS 3, The phone comes with a 5.50-inch touchscreen display with a resolution of 1080 pixels by 1920 pixels at a PPI of 401 pixels per inch. is powered by 1.6GHz quad-core Qualcomm Snapdragon 820 processor and it comes with 6GB of RAM.,455.33,ONEPLUS3.jpeg
